"model","variable","mean","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","flag"
"Travel → Infection","b_Intercept",-0.543,0.273,-1.08,-0.006,1.0001,23257,22105,"ok"
"Travel → Infection","b_travel_frequency1",0.018,0.36,-0.7,0.72,1.0002,42895,22379,"ok"
"Travel → Infection","b_travel_frequency2",-0.143,1.53,-3.464,2.604,1.0002,47642,17681,"ok"
"Travel → Infection","b_travel_frequency3",0.576,0.336,-0.079,1.234,1.0005,42526,22212,"ok"
"Travel → Infection","b_travel_frequency6",1.298,0.7,-0.029,2.717,1,49478,21601,"ok"
"Travel → Infection","b_travel_frequency13",-0.218,0.34,-0.896,0.442,0.9999,37315,22919,"ok"
"Travel → Infection","b_travel_frequency26",0.762,0.482,-0.179,1.71,1.0004,45188,22436,"ok"
"Travel → Infection","b_travel_frequency92",0.552,0.249,0.062,1.04,1,32193,24438,"ok"
"Travel → Infection","b_age_classPSAC",0.022,0.249,-0.463,0.513,1.0001,39047,23050,"ok"
"Travel → Infection","b_age_classSAC",0.053,0.213,-0.364,0.467,1,44538,23463,"ok"
"Travel → Infection","b_Sex_bin",0.22,0.19,-0.153,0.594,1.0003,54016,19840,"ok"
"Travel → Infection","b_LocationNaawa",-0.679,0.29,-1.246,-0.109,1.0001,24995,23117,"ok"
"Travel → Infection","b_LocationNamukuma",-0.633,0.298,-1.218,-0.056,1.0001,26191,22808,"ok"
"Travel → Infection","b_LocationNansoA",0.262,0.297,-0.32,0.846,1.0003,28392,23968,"ok"
"Travel → Infection","b_LocationSese",-0.708,0.291,-1.287,-0.142,1,24296,23007,"ok"
"Travel → Infection","Intercept",-0.618,0.09,-0.796,-0.442,1,52951,21566,"ok"
"Activity → Infection","b_Intercept",-1.316,0.276,-1.86,-0.783,1.0002,21544,20709,"ok"
"Activity → Infection","b_ActNEWDomestic",-0.349,0.459,-1.26,0.54,1.0001,10420,15929,"ok"
"Activity → Infection","b_ActNEWOccupation",1.22,0.569,0.112,2.355,1.0001,14579,17689,"ok"
"Activity → Infection","b_ActNEWRecreation",0.172,0.474,-0.761,1.099,1.0001,12981,18839,"ok"
"Activity → Infection","b_ActNEWTradeORVisit",0.159,0.383,-0.586,0.909,1.0001,10662,15728,"ok"
"Activity → Infection","b_age_classPSAC",0.093,0.256,-0.406,0.596,1.0001,25159,20789,"ok"
"Activity → Infection","b_age_classSAC",0.063,0.224,-0.381,0.504,1.0001,26085,20627,"ok"
"Activity → Infection","b_Sex_bin",0.133,0.197,-0.256,0.517,1.0003,27368,21427,"ok"
"Activity → Infection","b_LocationBanga2",0.81,0.311,0.203,1.423,1,19279,20038,"ok"
"Activity → Infection","b_LocationNamukuma",0.399,0.346,-0.281,1.083,1.0003,18208,20452,"ok"
"Activity → Infection","b_LocationNansoA",0.965,0.32,0.342,1.588,1.0002,21238,21008,"ok"
"Activity → Infection","b_LocationSese",0.026,0.303,-0.568,0.622,1.0003,21073,20938,"ok"
"Activity → Infection","b_travel_frequency1",-0.102,0.443,-0.98,0.757,1,14164,19310,"ok"
